"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn5";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn5";"dist";"imp";"moto";"rikt";"uppr";"skif";"efig";"efpl";"efutf";"efutv"
"Pojke";8;6;5;4;2;2;2;4;4;1;5;3;3;1;7;2;2;0;2;0;1;1;0;1;0
"Pojke";9;7;5;4;3;1;2;4;4;4;4;4;4;5;7;1;6;3;2;3;1;2;1;3;3
"Flicka";7;7;4;1;4;3;3;4;3;2;1;6;6;6;3;1;0;1;0;0;0;0;0;0;0
"Flicka";9;8;5;6;2;3;2;3;1;2;2;6;0;5;5;3;0;1;1;2;0;0;0;1;0
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;1;0;0;0;0;0;1;0
"Flicka";8;8;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;0;0;0;0;0;0
"Pojke";6;7;4;1;3;2;2;5;2;2;1;4;4;3;3;7;9;2;7;7;3;6;1;7;2
"Flicka";9;9;4;2;2;2;2;NA;NA;5;2;7;7;7;4;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;4;3;3;2;3;4;4;3;2;6;6;6;2;0;2;0;0;0;0;0;0;0;0
"Pojke";8;8;6;5;2;2;2;5;5;4;3;5;5;5;6;3;5;0;2;0;1;0;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;0;2;2;0;2;0;2;1
"Flicka";NA;NA;5;4;4;2;1;4;2;5;1;6;7;7;1;1;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;2;5;4;3;NA;2;1;3;4;2;1;5;2;5;1;3;7;3;4;0;8;2
"Flicka";7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;14;10;5;6;NA;5;4;7;2
"Pojke";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;2;NA;0;2;2;5;0
"Pojke";9;8;5;5;NA;NA;NA;3;3;4;2;6;5;6;2;3;11;3;4;1;0;1;2;1;0
"Pojke";7;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;0;4;2;0;2;0
"Flicka";8;9;5;5;2;4;1;NA;4;3;1;7;6;6;2;3;5;0;3;1;1;1;0;3;0
"Flicka";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;1;0;0;0
"Flicka";6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;4;2;1;2;1;3;1
"Flicka";5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;6;1;4;6;1;2;5;9;5
"Pojke";7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;15;4;7;12;8;7;7;10;6
"Flicka";7;8;3;5;3;3;2;2;4;4;2;5;5;6;4;0;0;0;0;0;0;0;0;0;0
"Pojke";5;9;5;5;3;5;3;3;3;1;2;2;2;1;2;3;4;2;2;6;0;0;0;1;0
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;0;0;0;0;0
"Flicka";NA;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;6;2;2;5;5;4;2;3;1;2;3;3;2;2;4;10;4;4;5;2;6;3;5;3
"Flicka";NA;8;5;5;4;4;2;2;4;5;4;5;5;7;7;1;1;0;0;0;0;0;0;2;0
NA;10;9;5;6;2;3;2;NA;5;3;5;5;5;6;7;0;0;0;0;0;0;0;0;0;0
"Flicka";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;6;5;2;2;1;2;3;1;1;5;5;2;3;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;5;5;3;4;2;1;4;6;2;7;4;7;5;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;4;2;3;4;1;4;3;1;1;5;2;3;2;2;0;0;0;0;0;1;0;1;0
"Flicka";NA;NA;5;3;5;3;1;3;3;1;1;5;4;2;2;0;0;0;0;0;0;0;0;0;0
"Pojke";9;7;5;4;3;4;4;NA;3;2;5;4;4;4;7;2;0;0;2;0;0;1;1;2;1
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;0;0;0;0;1;0
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;1;0;2;0;1;0
"Pojke";7;7;2;4;NA;4;4;4;4;1;5;4;NA;2;7;2;8;3;5;7;3;6;5;8;3
"Flicka";9;9;5;5;3;3;1;5;5;5;1;7;7;4;1;0;1;0;0;0;0;0;0;0;0
"Pojke";8;9;4;4;2;3;2;4;5;3;2;5;5;6;4;2;3;0;2;0;2;0;1;2;0
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;0;0;0;0;0;0;0
"Pojke";7;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;2;1;0;0;0;1;1;0
"Pojke";5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0;1;0;1;4;1;4;0
"Pojke";5;6;3;3;4;4;3;2;2;2;3;2;2;2;4;5;6;4;10;12;3;4;6;7;4
"Flicka";7;8;4;2;3;2;3;4;3;3;5;6;6;3;3;2;4;1;9;7;8;8;2;6;2
"Flicka";5;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;4;4;3;9;2;7;2
"Flicka";7;7;2;1;3;1;3;3;1;1;2;4;0;0;4;7;16;9;9;5;6;2;7;8;2
"Pojke";7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;9;5;7;1;5;6;5;2;1
"Pojke";10;10;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;2;3;1;0;1;0;0;0
"Pojke";7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;0;2;1;3;2;2;4;1
"Pojke";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3;0;3;2;0;2;0
"Flicka";9;9;3;3;2;2;2;2;3;5;4;6;5;7;7;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;0;0;1;0;1;0
"Flicka";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;1;1;0;2;0
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0
"Pojke";9;9;4;1;3;3;4;2;4;1;3;3;3;3;6;3;4;0;7;3;3;5;4;9;4
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;0;1;0;0;0;0
"Pojke";9;8;4;3;2;2;2;4;4;3;2;3;4;2;4;1;2;0;3;1;2;2;0;2;1
"Pojke";9;9;4;2;4;2;3;4;4;3;5;6;6;6;7;5;9;2;8;9;1;5;5;8;3
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;16;12;8;10;2;5;5;11;2
"Pojke";NA;NA;NA;5;2;2;2;4;1;3;4;6;6;7;7;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;2;1;0;0;0;0;0;0
"Flicka";NA;NA;5;4;2;1;2;3;1;3;4;6;0;7;7;0;0;0;2;1;0;0;0;0;0
"Flicka";NA;NA;4;3;3;2;2;3;3;5;3;6;6;7;7;0;0;0;2;1;0;0;0;0;0
"Flicka";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;3;6;5;6;3;4;8;2
"Pojke";NA;NA;5;5;NA;2;NA;4;2;1;2;1;1;1;1;2;2;0;9;6;2;6;4;5;2
"Pojke";NA;NA;5;5;2;2;3;2;2;2;5;4;4;4;6;7;7;8;9;5;4;6;4;4;4
"Pojke";9;9;6;5;2;2;3;4;3;2;3;4;4;6;5;2;6;9;2;1;0;0;2;21;0
"Pojke";8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;0;5;3;2;5;3;6;1
"Pojke";8;7;NA;3;3;3;4;NA;1;1;2;1;1;0;0;8;14;11;10;10;6;6;7;11;6
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;0;3;2;1;0;1;0;0
"Pojke";5;5;5;3;2;1;3;NA;NA;1;5;6;NA;3;6;4;9;2;5;5;7;5;3;6;3
"Flicka";9;8;5;3;3;2;2;4;1;1;2;7;7;2;2;0;3;0;0;0;0;0;1;1;0
"Flicka";7;8;4;2;3;2;2;4;1;3;6;5;0;7;7;1;0;0;2;3;0;3;0;2;0
"Flicka";8;8;4;5;2;3;3;4;1;1;2;5;1;1;5;0;0;0;0;0;0;0;0;0;0
"Pojke";9;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;1;0;0;2
"Flicka";7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;1;0;0;1;0;0;0
"Flicka";7;7;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;2;1;0;3;1;1;0
"Pojke";8;8;4;1;3;3;3;5;2;3;1;5;0;5;0;2;5;2;1;3;0;4;0;4;0
"Pojke";5;5;NA;2;3;2;2;6;5;1;5;4;3;1;6;4;5;0;8;11;3;5;1;8;0
"Flicka";7;7;5;4;3;3;2;5;1;4;4;7;7;7;7;0;2;0;2;0;0;0;0;1;0
"Pojke";NA;NA;NA;5;2;3;3;5;4;2;5;6;6;5;7;0;3;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;17;8;5;7;5;4;4;9;4
"Flicka";NA;NA;5;5;3;2;2;4;3;5;1;7;7;7;2;1;4;1;4;0;3;0;0;1;0
"Flicka";NA;NA;NA;2;2;2;2;4;3;1;1;5;5;0;0;4;3;1;7;5;3;7;2;4;0
"Pojke";NA;NA;2;2;3;4;3;5;4;3;2;5;5;5;5;2;5;2;1;1;1;3;3;5;1
"Pojke";7;8;5;6;2;2;2;5;5;3;3;7;7;5;6;3;3;3;1;1;0;0;0;0;2
"Flicka";8;8;4;5;3;3;2;4;4;4;1;5;5;6;3;0;2;1;1;1;1;0;1;3;0
"Flicka";9;8;NA;6;2;1;3;3;4;5;2;6;6;7;5;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;4;2;4;3;2;4;4;5;2;6;6;7;6;1;0;0;0;0;0;1;0;0;0
"Pojke";NA;NA;5;4;3;2;2;2;4;5;4;3;7;7;7;2;2;1;0;0;0;1;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;1;0;0;0
"Flicka";NA;NA;4;1;3;3;2;3;3;2;2;3;3;2;2;3;0;0;2;0;2;3;1;1;0
"Flicka";NA;NA;NA;4;2;2;2;4;4;2;2;3;3;3;3;1;0;0;0;0;0;1;0;0;0
"Pojke";NA;NA;1;5;2;4;4;4;4;2;4;6;6;2;6;6;16;8;6;9;6;6;6;10;5
"Flicka";NA;NA;5;1;4;2;5;4;4;4;2;5;4;7;2;1;0;1;0;0;2;0;0;2;0
"Pojke";NA;NA;4;3;2;3;3;3;3;1;1;3;3;1;1;3;9;8;10;9;5;9;6;9;5
"Flicka";10;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";7;8;6;5;3;4;3;5;5;3;1;5;5;4;1;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;NA;5;4;4;4;NA;3;2;5;3;4;3;7;3;1;0;2;2;0;6;0;3;0
"Flicka";8;9;3;5;2;7;2;1;2;1;2;1;1;1;2;2;5;0;0;1;0;0;0;0;0
"Pojke";8;7;NA;2;5;5;4;2;3;2;2;5;5;4;3;1;4;0;2;1;0;2;2;2;2
"Pojke";8;7;NA;3;3;7;6;2;2;1;3;2;2;1;6;2;6;1;1;1;1;3;2;4;0
"Flicka";7;7;4;2;3;4;1;4;3;1;1;4;4;1;2;1;0;0;2;0;0;1;1;0;0
"Pojke";7;8;4;5;4;3;2;4;4;1;2;7;7;1;5;0;0;0;0;0;0;0;0;0;0
"Pojke";10;8;5;6;3;2;2;NA;4;NA;5;NA;3;5;7;0;0;0;0;0;0;0;0;0;0
"Pojke";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;1;0;0;NA;0;0;0
"Pojke";9;8;5;5;2;4;5;4;4;2;2;3;3;2;3;4;4;3;2;1;1;1;1;0;2
"Flicka";9;9;4;3;5;5;2;1;4;4;1;NA;6;5;1;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;5;3;4;4;1;3;4;3;1;7;7;6;1;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;NA;5;4;4;3;NA;2;1;1;1;1;1;2;1;1;0;1;0;0;0;0;2;0
"Pojke";10;8;5;5;3;4;NA;2;4;1;3;3;5;1;6;1;0;1;0;1;0;0;0;0;0
"Flicka";9;9;NA;5;4;4;2;2;5;2;2;6;6;5;6;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;3;5;3;2;4;4;2;1;1;3;4;1;4;1;0;1;0;2;1;1;1;1;0
"Flicka";9;9;2;3;4;4;2;3;4;4;3;5;5;3;4;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;4;5;4;3;2;4;4;2;2;6;6;6;4;0;0;0;0;0;0;0;0;0;0
"Flicka";10;10;5;5;2;3;1;4;4;4;1;6;6;7;3;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;2;3;3;6;1;3;2;2;1;4;4;5;1;0;0;0;0;0;0;0;0;0;0
"Flicka";7;9;4;NA;2;5;1;4;5;2;3;6;6;6;6;2;2;1;1;0;0;0;0;0;0
"Flicka";8;9;3;5;4;7;2;2;4;3;2;5;5;5;5;0;0;0;0;0;0;0;0;0;0
"Flicka";7;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;1;0;0;0;0;0;0;0
"Flicka";7;9;3;NA;4;NA;1;4;4;5;1;5;NA;7;2;0;0;0;0;0;0;1;0;0;0
"Flicka";NA;NA;5;NA;4;3;3;4;2;5;4;7;6;5;7;1;1;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;5;2;2;3;3;1;4;3;6;0;6;6;3;2;1;0;0;0;0;0;0;0
"Flicka";NA;NA;5;5;NA;2;2;4;3;5;2;7;7;7;2;1;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;4;5;3;2;2;4;4;1;3;5;5;0;5;5;13;8;2;7;4;1;4;6;4
"Flicka";NA;NA;4;1;2;3;2;5;4;5;1;7;7;7;6;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;5;4;2;2;2;4;2;3;3;4;4;4;4;1;1;0;1;1;2;0;0;1;0
"Flicka";8;8;2;1;2;2;2;5;4;3;3;6;6;4;4;0;2;0;0;0;0;0;0;1;1
"Flicka";9;8;4;1;3;2;2;2;4;4;2;7;7;7;7;0;0;0;0;0;0;0;0;0;0
"Pojke";7;5;1;2;4;4;2;4;4;2;1;2;6;1;1;7;12;0;10;11;7;8;7;14;6
"Flicka";8;8;3;5;3;3;3;3;3;3;4;6;6;6;6;0;0;0;0;0;0;0;0;0;0
"Flicka";6;6;5;5;4;3;2;5;5;3;3;6;6;6;4;5;3;0;4;7;4;6;0;4;0
"Flicka";10;9;5;5;4;2;3;4;4;3;4;5;6;7;7;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;5;5;2;2;2;2;4;2;3;6;6;3;5;NA;8;1;9;4;2;8;3;5;0
"Pojke";8;8;5;4;NA;3;3;4;NA;NA;4;4;5;3;6;2;2;2;4;1;4;4;0;4;0
"Flicka";8;8;4;5;2;3;2;5;5;3;3;6;6;3;3;0;0;0;0;0;0;0;1;0;0
"Flicka";6;8;3;NA;6;6;NA;5;5;2;2;6;NA;4;3;0;0;0;1;1;0;0;0;1;1
"Pojke";8;7;4;5;4;3;NA;5;4;3;5;3;4;6;7;2;6;1;5;4;3;2;2;7;1
"Pojke";NA;8;5;1;3;1;2;4;3;4;3;6;5;6;6;2;2;2;5;2;1;3;0;4;1
"Flicka";NA;8;5;1;2;2;2;4;4;5;5;7;7;7;7;1;0;0;1;1;0;0;0;1;0
"Flicka";NA;7;5;5;2;1;2;3;1;4;3;6;0;6;7;3;3;3;3;3;2;2;0;6;2
"Pojke";NA;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;2;1;0;2;0;2;0
"Pojke";7;7;5;2;3;2;4;3;2;2;2;3;3;3;4;3;5;2;9;6;4;7;4;12;1
"Flicka";10;10;5;5;2;2;2;3;2;5;4;6;6;7;7;2;1;0;6;0;3;3;2;2;1
"Pojke";9,5;10;2;2;3;4;4;5;4;4;4;7;7;7;7;0;0;0;0;0;0;0;0;1;0
"Flicka";9,5;9,5;NA;2;2;2;2;3;2;2;1;4;4;6;0;0;1;0;1;0;0;2;0;1;0
"Flicka";9,5;10;NA;5;2;2;2;4;4;4;6;7;7;7;7;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;1;1;1;2;0;0;0
"Pojke";8;8;3;2;4;4;4;3;3;1;2;2;2;2;4;7;11;9;0;11;0;8;4;8;3
"Pojke";9;9;4;4;2;2;2;NA;NA;NA;4;6;6;3;7;4;4;5;1;3;0;0;0;2;0
"Pojke";9;9;4;3;4;4;4;2;2;1;2;2;3;2;3;4;10;7;4;6;1;5;1;3;0
"Pojke";NA;NA;3;4;4;4;5;5;5;NA;1;4;4;4;1;0;0;0;3;1;0;1;0;1;0
"Pojke";NA;NA;4;4;4;3;3;4;2;2;3;4;4;4;4;0;0;0;0;0;0;0;0;0;0
"Flicka";NA;NA;4;5;4;1;2;3;2;1;2;7;7;7;7;0;0;0;0;0;0;0;0;0;0
"Flicka";7;8;4;2;3;1;2;4;1;1;6;7;6;5;7;0;4;1;4;0;0;0;0;1;0
"Pojke";6;6;4;2;5;2;2;3;2;1;1;5;4;1;5;7;8;8;10;11;6;8;2;11;4
"Pojke";8;6;2;2;5;2;4;4;2;1;2;2;0;0;4;3;6;4;6;6;3;7;4;8;2
"Pojke";9;8;3;4;3;5;5;3;4;1;1;2;3;2;3;3;3;1;0;0;0;0;0;0;0
"Pojke";8;7;2;2;2;4;2;4;4;1;1;4;4;1;1;3;3;1;1;0;0;1;0;1;0
"Pojke";9;8;5;2;3;3;3;4;4;2;5;4;5;2;7;3;9;2;0;0;0;0;1;2;1
"Flicka";9;9;4;4;2;3;3;2;3;4;4;4;4;7;7;4;1;2;0;0;0;0;0;0;0
"Pojke";8;9;3;2;2;5;2;1;3;4;4;6;5;7;7;0;1;0;0;0;0;NA;NA;NA;NA
"Pojke";9;8;4;4;3;3;4;4;2;2;3;4;4;4;4;0;1;1;1;0;0;0;0;0;0
"Flicka";8;8;5;2;3;NA;2;5;5;5;5;6;6;7;7;3;4;0;4;3;1;4;3;9;2
"Flicka";8;9;4;2;2;6;3;2;4;2;2;3;3;3;3;0;1;0;0;0;0;0;0;0;1
"Pojke";8;7;4;4;2;2;3;5;3;1;2;3;4;1;3;2;8;5;6;9;5;4;5;7;3
"Flicka";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;4;3;6;0;2;4;4;2
"Pojke";7;7;3;5;4;4;4;3;1;1;1;4;4;1;2;4;9;5;6;9;6;7;6;8;2
"Flicka";8;8;6;4;2;2;2;NA;2;4;6;5;5;5;7;1;1;0;0;0;1;2;1;1;0
"Pojke";9;8;5;4;2;3;2;2;1;2;2;3;2;1;2;1;8;1;1;1;2;0;2;2;0
"Pojke";10;9;NA;5;3;4;2;1;4;4;4;6;6;7;7;1;2;1;1;0;2;0;1;2;0
